device_mac,attack_label,count
GoSund Smart Plug WP3 (1),ddos,119
GoSund Smart plug WP2 (1),benign,697
GoSund Smart plug WP2 (1),brute force,255
GoSund Smart plug WP2 (1),ddos,133
GoSund Smart plug WP2 (3),benign,696
GoSund Smart plug WP2 (3),brute force,252
GoSund Smart plug WP2 (3),ddos,111
Google Nest Mini Speaker,benign,2167
Google Nest Mini Speaker,brute force,773
Google Nest Mini Speaker,ddos,537
Gosund Power strip (1),benign,696
Gosund Power strip (1),brute force,253
Gosund Power strip (1),ddos,129
Gosund Smart Plug WP3 (2),benign,696
Gosund Smart Plug WP3 (2),brute force,253
Gosund Smart Plug WP3 (2),ddos,118
Govee Smart Humidifer,benign,75
Govee Smart Humidifer,brute force,27
Govee Smart Humidifer,ddos,50
HeimVision Smart WiFi Camera,benign,1017
HeimVision Smart WiFi Camera,ddos,185
HeimVision SmartLife Radio/Lamp,benign,585
HeimVision SmartLife Radio/Lamp,brute force,709
Home Eye Camera,benign,2323
Home Eye Camera,brute force,727
Home Eye Camera,ddos,126
LG Smart TV,benign,2623
LG Smart TV,ddos,663
LIFX Lightbulb,benign,121
LIFX Lightbulb,brute force,112
LIFX Lightbulb,ddos,10
LampUX RGB,benign,680
LampUX RGB,brute force,248
LampUX RGB,ddos,81
Levoit Air Purifier,benign,346
Levoit Air Purifier,brute force,128
Levoit Air Purifier,ddos,104
Lumiman bulb,benign,518
Lumiman bulb,brute force,179
Lumiman bulb,ddos,209
Luohe Cam Dog,brute force,104
Luohe Cam Dog,ddos,32
Nest Indoor Camera,benign,22137
Nest Indoor Camera,brute force,5043
Nest Indoor Camera,ddos,119
Netatmo Camera,benign,2243
Netatmo Camera,brute force,983
Netatmo Camera,ddos,557
Netatmo Weather Station,benign,603
Netatmo Weather Station,brute force,231
Netatmo Weather Station,ddos,207
Philips Hue Bridge,benign,2065
Philips Hue Bridge,brute force,469
Philips Hue Bridge,ddos,255
Raspberry Pi 4-2 GB,benign,7
Raspberry Pi 4-2 GB,brute force,8
Raspberry Pi 4-2 GB,ddos,5
Rbcior Camera,benign,1791
Rbcior Camera,brute force,1054
Rbcior Camera,ddos,124
SIMCAM 1S (AMPAKTec),brute force,1032
SIMCAM 1S (AMPAKTec),ddos,34
Smart Board,benign,1
Smart Board,brute force,80
Smart Board,ddos,60
SmartThings Hub,benign,2067
SmartThings Hub,brute force,764
SmartThings Hub,ddos,302
Sonos One Speaker,benign,593
Sonos One Speaker,brute force,195
Sonos One Speaker,ddos,5517
TP-Link Tapo Camera,benign,1122
TP-Link Tapo Camera,brute force,210
TP-Link Tapo Camera,ddos,386
Teckin Light Strip,benign,512
Teckin Light Strip,brute force,199
Teckin Light Strip,ddos,169
Teckin Plug 1,benign,482
Teckin Plug 1,brute force,154
Teckin Plug 1,ddos,80
Teckin Plug 2,benign,453
Teckin Plug 2,brute force,157
Teckin Plug 2,ddos,56
Wemo smart plug 1 (Wemo id: Wemo.Mini.AD3),benign,4
Wemo smart plug 1 (Wemo id: Wemo.Mini.AD3),brute force,32
Wemo smart plug 2 (Wemo id: Wemo.Mini.4A3),benign,130
Wemo smart plug 2 (Wemo id: Wemo.Mini.4A3),brute force,16
Wyze Camera,benign,2266
Wyze Camera,brute force,1607
Wyze Camera,ddos,422
Yi Indoor 2 Camera,benign,1998
Yi Indoor 2 Camera,brute force,744
Yi Indoor 2 Camera,ddos,67
Yi Indoor Camera,benign,910
Yi Indoor Camera,brute force,320
Yi Indoor Camera,ddos,41
Yi Outdoor Camera,benign,299
Yi Outdoor Camera,ddos,67
Yutron Plug 1,benign,482
Yutron Plug 1,brute force,156
Yutron Plug 1,ddos,77
Yutron Plug 2,benign,515
Yutron Plug 2,brute force,177
Yutron Plug 2,ddos,59
ac:17:02:05:34:27,benign,12818
b0:09:da:3e:82:6c,benign,547
b0:09:da:3e:82:6c,brute force,218
b0:09:da:3e:82:6c,ddos,146
d4:81:d7:97:d0:29,benign,376
d4:81:d7:97:d0:29,brute force,233
d4:81:d7:97:d0:29,ddos,18
dc:a6:32:c9:e4:90,benign,3
dc:a6:32:c9:e4:90,ddos,27155
dc:a6:32:c9:e4:ab,benign,3
dc:a6:32:c9:e4:ab,brute force,1
dc:a6:32:c9:e4:ab,ddos,49726
dc:a6:32:c9:e4:c6,benign,7
dc:a6:32:c9:e4:c6,brute force,5
dc:a6:32:c9:e4:c6,ddos,16
dc:a6:32:c9:e4:d5,benign,3
dc:a6:32:c9:e4:d5,ddos,27814
dc:a6:32:c9:e5:a4,benign,3
dc:a6:32:c9:e5:a4,ddos,21522
dc:a6:32:c9:e5:ef,benign,4
dc:a6:32:c9:e5:ef,ddos,33694
dc:a6:32:dc:27:d5,benign,1173
dc:a6:32:dc:27:d5,brute force,10369
dc:a6:32:dc:27:d5,ddos,42804
e4:5f:01:55:90:c4,benign,2
e4:5f:01:55:90:c4,ddos,25777
e8:1b:69:f8:d4:e3,benign,102
e8:1b:69:f8:d4:e3,brute force,530
e8:1b:69:f8:d4:e3,ddos,128
e8:1b:69:f8:d6:e6,benign,229
e8:1b:69:f8:d6:e6,brute force,158
e8:1b:69:f8:d6:e6,ddos,77
harman kardon (Ampak Technology),benign,1995
iRobot Roomba,benign,98
iRobot Roomba,brute force,35
iRobot Roomba,ddos,15
